Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Luxembourg,0,0,0,0,151924470,195375890,72975481,36201898,31418242,14810094,37823065,32263784,17547428,38269699,48332552,18101491,24415941,19080165,11182694,8606252,5348692,7985146,6402030,9667779,7239315,9224144,11792847,10472217,6199557
Macao,2937803,2467108,2806909,10447848,5165752,5617338,2748929,1217856,837858,1357830,2813245,2982524,4385107,3551104,1991698,2768184,1678966,1780565,2060774,2316974,2886517,2006373,2067437,2756528,1181422,8037489,9666722,81208393,50858770
Madagascar,7327,43655,8018,61919,66628,186837,93616,44156,174388,486387,489904,361863,240593,148759,235417,224847,125285,137870,196589,119555,156708,178682,8880,37099,94252,44186,169849,34890,365866
Malawi,50337,10852,72303,252346,24725,46609,100506,45736,67897,104081,78527,75329,111088,145953,604074,456189,816040,52317,47388,48052,126170,129262,66624,74233,85772,167970,1332737,1200411,139625
Malaysia,10346471244,11119751941,11278011912,10960471997,13698045262,15638064742,13248828797,15226379448,19122915092,19219779851,19522917017,21249265760,23265156511,6091809409,21414573641,23144380108,27785439343,25829163297,28284955571,31339125639,27600320929,26880406582,39935386896,47856857698,46842367135,50748802773,59313180480,78489040661,74351182033
Maldives,1905,0,0,121153,17061,47580,33941,82867,1159505,246032,121345,135920,143609,71080,10381,42029,1297708,837344,272265,259881,10525,297900,184278,133959,141011,201533,132431,157602,4489773
Mali,1596802,4121811,597375,1861115,4702486,9297267,26687106,3342797,1367506,1291069,940923,508904,1857407,804262,489945,6100582,2436138,254434,999186,1428251,861636,618117,903954,247600,2086565,787971,1158879,1585760,1493401
Malta,656750191,621128623,620483796,894395127,826315371,1116014306,939055264,975490759,951869591,1511633399,941101303,1123246607,1567881982,1241879226,1135689895,1383280235,1524478384,1680351211,1328488302,968331396,735910079,650552059,767996739,751719035,735071541,487745230,475400684,737778656,886777160
Marshall Islands,846815,0,22024,13062,80992,253015,36133,210686,372381,83155,86304,145673,8989,24711,210558,200502,54795,0,1666,6153,19346,2545,4107472,9976,24912,3260,2219754,202354,61500
Martinique,30617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,32791,8458,166628,1407832,109774,63550,146488,335867,1433051,1689280,726279,602065,137846,289351,186932,142124,113330,83443,81246,154619,140415,45343,140857,177517,201963,122133,243988,576850,117482
Mauritius,441647,329016,80336,106917,350571,101617,485254,1280989,3111105,3801621,6169821,2853243,1294992,952717,863050,816548,1262298,4235581,1663358,1479838,508184,963352,832086,1267407,491467,10238068,2292411,1866054,1609672
Mayotte,0,0,0,0,0,0,0,0,3199,386414,99182,103029,4820,0,0,0,0,59842,12614,0,0,0,0,0,0,0,0,0,0
Mexico,581507191,1133007697,1068916404,1086751308,1488606473,2026175261,1006696908,821024373,1118470211,1368450224,1193888852,1198895956,927607819,946162995,841770962,1104485616,1244434050,1600365112,1733851329,1720498472,1977844623,2001272284,2337584092,2355391786,2488420177,3250354677,3498075806,4208564093,3500481051
Micronesia,0,0,0,0,0,40329,21959,1330,1669,100733,15902,3314,0,56044,11573,0,1409,31724,70179,17277,4843,0,0,5535,0,0,41350,611455,0
Moldova,1875895,785093,625336,167943,84124,91004,11527,11181,15904,34892,77663,61774,84851,160708,2460637,3747535,2213057,126964,200345,181365,312532,418704,2057654,1076159,723867,209821,474683,513771,1018614
Mongolia,13200,172879,7184,0,166763,28350,685562,180453,27185,11042,28748,149475,81020,197463,258061,68920,107233,1752393,6190,271809,202218,20841,107883,5791,59760,16131,89714,46913,22932
Montenegro,0,0,0,0,0,0,0,0,0,0,0,153969,12129,10566,55238,9086,503653,672596,112444,81725,153529,44499,76302,399810,817021,195270,78024,194058,278248
Montserrat,0,32765,0,57118,369035,0,0,133565,1830,13408,6952,4623,13939,9003,347815,45170,13524,68619,27045,10643,8934,10080,43318,12587,5090,170760,1705,84171,14426
Morocco,23742652,33321134,51010987,93565613,184647639,135830197,105314613,129789355,91878850,132657822,171188503,194492742,269967648,318710422,268815936,359375257,380234610,349845822,286416070,336465132,279766729,154547267,206629912,331541366,197792655,132097185,139652311,181224794,229330555
Mozambique,544976,49128,68779,2551,1447,261880,83892,123349,271868,292054,158197,46656,70277,34334,59782,183476,168475,31496,107418,24932,15796,270442,18867,73359,29805,290149,87141,183921,281169
Myanmar,26359,40758,13480,16926,567601,236680,19908,89923,345976,2326673,158717,108621,386477,40016,278192,166884,131872,170983,1549040,98713,266986,831034,75536,370356,884711,7948300,521710,1733662,1026925
Namibia,0,0,0,0,0,59019,65173,90325,340772,628178,274812,905940,574294,222065,707334,501429,3685602,4735768,4848949,1026117,1179330,2330564,34966392,321286564,2092043,5483637,630779,560311,86514
Nauru,0,2285,17557,0,44704,0,0,0,14376,2455,0,0,0,2604,10128,10345,394197,0,57777,56821,96806,180245,151709,18283,9106,24894,30050,84610,5931
Nepal,54582,0,0,27667,47236,0,0,44384,3052,79841,2481,71186,681950,2808348,45529,233244,114359,608674,84122,0,0,139785,0,32208,931,20757,0,14821,16470
Netherlands,833652544,857184634,5042946398,1058689837,1246958075,1895825515,1240683649,1459952401,6761029860,8963212018,7338083780,5890635762,6630966822,4033930217,3009624010,3301248674,2917062630,2873198974,3177605735,3519127821,3493587625,3673508012,7270184716,8391759085,9001344318,9550433127,10972729658,4541996179,3974552970
Netherlands Antilles,228027,33310,249867,419587,311280,317737,2859395,1425887,60453,186831,94478,207560,39969,484616,233663,118644,0,0,0,0,0,0,0,0,0,0,0,0,0
New Caledonia,33222,31548,1254664,5644,96851,231290,26119,89775,53928,209975,89717,24187,119501,138689,1924213,68461,42316,119784,294148,137327,262438,48113,314516,75079,2021549,207862,100181,333064,214339
New Zealand,2114939,3988964,3461881,2301233,1845607,3644462,7503741,4643491,4474722,8267285,9012825,10138981,14052512,15123665,12256564,13913844,22000382,23928952,24902138,18909591,15846457,14743708,18455194,11337185,7894787,6979138,11015677,17766711,10719670
Nicaragua,7928,11057,84439,70611,83363,7852,246889,46500,77390,429014,57017,192273,123708,538012,92660,135859,169111,521432,15554,260389,295386,104599,218247,246620,173297,118261,25996,1310062,1825830
Niger,4926,1520,195201,120453,278032,318490,115861,125472,57462,220689,574055,37563,831697,1288552,23933,199561,390972,93120,80711,21823,51649,12684,803491,53252,55250,25910,127114,203029,106257
Nigeria,24845,35496,89051,13017,13176,3670,16317,9976,43410,200899,9143,95037,557862,413561,365541,151274,409597,201978,894727,435169,257841,593327,499707,1170625,577965,529675,868743,4169897,2081311
Niue,0,0,0,0,0,0,0,0,0,0,20447,0,0,0,9308,21450,0,0,0,0,10608,0,26065,4959,0,0,0,50441,0
Norfolk Island,0,4932,0,0,0,0,0,0,0,6118,0,0,0,1330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Korea,10783489,8169743,17564898,19419244,15676497,22265182,34734730,13117330,14917094,27289267,19139966,23376948,29063843,30238903,8499288,37206012,10955388,9173347,10311872,4927623,12310906,4453308,1610365,276430,411988,900067,35458,275384,301604
North Macedonia,41469,27356,27214,47312,44396,19634,142765,142632,212130,58615,45187,396855,413838,563443,219167,627139,324164,389157,443150,962795,1499617,1529667,544414,512177,469493,923991,1040043,1280307,2135137
Northern Mariana Islands,0,0,0,0,1670,4054,0,4999,10834,0,4744,4244,0,0,7700,1821,0,0,1971,0,2331,7398,149521,0,14371,43732,98027,353726,88497
Norway,20995129,24404585,13394105,20484975,16810390,25910738,89624688,64166008,60986674,44252174,62883206,90375615,109962618,155079304,106907508,103498951,116778226,101938703,78695487,78954009,76681554,82006067,67031327,71855815,68505707,54189584,65515976,61635773,63464579
Oman,3915,20937,15739,25747,30256,0,26955,19060,162610,73397,88667,215035,138346,147360,9712,57729,385851,21473,205301,573044,287042,4940883,529685,3709829,1092124,621791,780093,1218801,1302645
Pakistan,72478,47896,144958,97206,305505,122761,159166,173345,371015,774432,475735,379667,295125,236387,880024,561994,1592887,479605,424402,484989,341730,168634,282936,234902,274597,356963,379947,1768379,553425
Palau,464645,25103,242675,0,0,0,5612,51347,0,15157,18447,8119,0,0,0,40784,0,17861,0,54009,0,5105,0,8466,0,0,4903,0,4963
Palestine,0,0,0,0,0,19596,18702,7255,0,44264,0,6273,68312,47395,1237441,1129998,67146,157940,167598,38450,32971,25753,125617,50359,63785,82937,51819,173879,73967
Panama,1177248,335854,1156346,411488,1099363,892763,1539540,901257,858450,2503481,1715159,3114003,4527093,2189144,3242190,4211581,5691978,11795936,4960708,4561239,3285931,1401048,2218943,3728650,4319158,1585106,3856717,9117582,11453180
Papua New Guinea,26187,42398,77063,83370,238207,56879,128395,61034,1710850,108369,53675,245522,795417,977230,1584773,1334900,1236264,177235,82609,962919,170156,76891,146485,865542,1682914,1277644,1817227,3697539,1254609
Paraguay,1241049,1541694,1465848,1660379,568083,124367,518680,1943,325811,44545,109110,78265,80016,40495,132900,22636,75318,133115,45225,19289,272818,71062,30558,30927,92872,45154,580023,562867,191306
Peru,316512,502182,133405,108555,181010,904976,14169012,1493897,1324892,287745,1829179,2289570,1456064,1200216,1189145,1552106,759237,1906710,2697463,988545,2450248,1112492,838236,1488493,829336,504310,1055662,2775860,1838394
Philippines,2996947947,4675267375,6891142327,10611335548,12785758414,15195179229,11232920563,13357159977,15262204654,13791128811,10570538157,7490196553,14014703360,12721257215,8354242752,6132757183,5774640843,9285922494,9924329087,10772099502,13039092198,14260459261,13874281297,13790379960,21391516463,22787324018,24027162828,28616802784,24953177178
Pitcairn,32127,1844,0,1205,152244,19164,16285,1603,43291,3180,126818,19483,8630,7887,0,11081,766974,2354921,97804,2475,0,7586,134510,22247,5559,25502,828365,71505,0
Poland,21342337,8849387,19399939,34353536,11557210,17593855,29490072,53568691,143899351,164522341,173313616,178867315,229914563,279463734,243533172,268200977,329102958,403782172,331447500,289844323,317281776,678699592,644080561,582079909,167591025,210859788,269045212,509035155,571123195
Portugal,366474999,256342843,237841667,218369368,357689399,350271312,523994184,492509492,726080319,712179079,751711448,1360315731,1667419374,1510275856,95569528,31875952,104927796,229660296,188445734,130303454,99173990,196738321,236279107,222754722,289740936,334846875,334526663,458552634,439378844
Qatar,6412,23246,3486,0,23269,349401,6035,289028,46947,65516,2175106,1824619,2347274,121675,802429,680467,1216643,235048,168879,140861,460225,251063,306637,264434,643940,1019619,520899,1930015,10491417
Republic of the Congo,133286,6675,1462,0,12374,246802,75944,265293,12379,36800,10238,202608,104740,47709,24241,564233,200483,100170,57848,17806,90801,218100,599,1151664,13944,24453,407606,264020,49447
Romania,1083420,811859,1413534,2563116,3889297,40235765,31840812,24069256,14658802,42265367,39810626,67830817,65975378,146486908,87731677,93333050,132831453,77669117,89741211,124057576,116570054,115804226,134969244,139043672,171727075,156664851,176849730,241452066,307423060
Russia,26957110,20767467,39570197,29578027,60355583,156272736,57890594,49476210,48965321,62045362,58559219,82123914,77856393,98551271,74363706,86361039,73855197,70399570,74389876,275139064,101675459,66274266,69299981,67261375,69656972,62115134,89896655,40533959,29763669
Rwanda,6961,0,13139,34717,0,61435,20817,7547,13542,229760,59163,46604,169363,0,58145,26384,563728,91436,190068,988885,312318,112064,52883,361535,287156,144836,261719,471534,299028
R?union,262105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Barth?lemy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72600,0,0,72150,16212,9929,1339
"Saint Helena, Ascension and Tristan da Cunha",11928,7945,16802,0,21174,83314,167505,149089,412804,1224682,30157,302556,91509,813933,21919,35095,1257740,202447,63496,172664,82122,102242,31898,253418,1852153,459671,34767,624121,111605
Saint Kitts and Nevis,11819,28725,44874,99294,49495,132520,134005,164863,59838,220734,503246,52941,12178,45155,35769,134157,19367,5502,1457237,289151,27284,27314,38183,20383,14774,17043,53835,14163,3882
Saint Lucia,5472,3354,15647,2196,19480,48376,7460,2738,13723,80789,70771,41822,16140,24139,5178,900,11449,11874,20005,6268,14093,7777,113689,50223,29501,14113,170477,99860,250474
Saint Pierre and Miquelon,38859,16123,0,3403,1869,0,0,0,0,16107,21596,92748,4585,0,40681,0,1192,1087,0,0,0,0,25823,3923,0,0,0,1675,0
Saint Vincent and the Grenadines,4064,6941,0,0,0,148189,0,7471,44760,0,0,0,0,0,11800,6826,0,75773,7980,10817,53255,22725,40662,6009,0,0,25388,107880,63542
Samoa,0,1139,0,0,29780,0,4170,2679,0,128986,1496995,409038,984110,615948,896864,696583,120744,565109,54991,47903,4961,1832,863299,614622,820006,471036,1984199,4596030,9372996
San Marino,0,0,0,0,0,5532,0,2538,0,31354,40563,92646,126366,503433,103326,337569,783992,377739,141626,24668,83117,22854,31062,20456,39957,50485,32619,132068,73625
Sao Tome and Principe,9759,69429,28487,79380,14228,84476,3669,27875,4449,238379,6990,66640,193472,25876,21325,579126,88991,125774,46957,302139,276204,14987,55855,11446,22035,21259,746036,669351,65465
Saudi Arabia,1194218,633647,1163348,964213,620172,1415141,1076149,973716,1681563,1924145,3895649,6151305,25446416,9712055,8523022,11547750,13149383,6192569,7508937,12422201,11784984,26188952,33395112,14853334,11541771,27388052,13084200,9753134,7689325
Senegal,684184,172909,24919,62668,124560,298182,283210,227781,142796,567984,604515,1006836,691550,420218,607730,351879,1518454,333125,1642538,548183,287614,1186627,256601,248835,552607,374452,243649,1164183,948619
Serbia,0,0,0,0,0,0,0,0,0,0,0,2309917,3288802,8064486,9106080,3743772,6959886,2262675,3928314,2017783,2610228,2977465,2886660,6668788,10709680,98452042,192676125,93013127,167524690
Seychelles,7075,69394,281774,172796,233043,268306,28013,4419,17501,30091,52382,110109,58327,242773,171307,155248,321388,161472,106319,3980138,452918,22136,13277,290069,20939,63201,73063,235534,1300801
Sierra Leone,3081,2642,122408,0,0,8665,36202,24657,7962,122874,51339,138369,493299,101113,1738825,648041,1272749,696958,173653,58931,95859,211916,270711,103664,127493,50920,187760,673839,141419
Singapore,11638136409,12810983913,12889474585,12523228139,14646885920,21716108157,16854034384,18981197347,11361023632,30811571424,16085161949,17922439497,44279276793,43394808438,40195476974,53695229466,54210804727,54549178824,59740152068,60501912807,54725491566,52443836973,59087139356,63027659321,58791295120,65208617734,84750859523,88830873895,77357109625
Slovakia,3575926,2103049,5715601,7009064,7642332,11422799,10109906,14477709,33465089,77478948,158034727,163860810,369614146,284358411,329324168,289420736,222373069,230349966,206027807,184380133,179776643,252644021,206765712,154447065,126676049,123541677,130597098,135093545,194190289
Slovenia,4052210,2869174,2340578,3978170,2617075,3323936,2417510,3689328,7084688,9290246,5505689,7719299,18369967,40789183,29359041,13065391,17343118,13293126,13004449,15984620,14946622,14651325,19498190,25486379,26294725,22244193,31542579,42316198,43643687
Solomon Islands,73636,1577,1309,44440,0,23683,5905,47247,128204,2916,1708,0,43683,163078,0,13393,12335,37675,254232,377421,529553,8469,3788,17415,128905,0,14366,3578,0
Somalia,13678,5587,2603,3027,19357,6306,0,0,184828,9279,281565,128248,0,15715,5257,75754,4961,0,0,3026,1471014,0,81206,681372,74397,251150,793417,5488,0
South Africa,21557588,13073302,8340023,10024915,10718429,18105418,30230209,38986537,40326026,48187860,43349867,40793001,25990649,21765428,18947102,25100078,32858744,26930219,21811460,23886652,27733604,17974432,30062121,25759877,20777352,13737915,16597573,21746167,31861047
South Georgia and South Sandwich Islds.,0,0,0,0,0,0,0,0,0,2493,0,0,0,0,648899,33347,0,20398,0,0,0,0,0,1296437,0,30996,0,1035,0
South Korea,16237324753,13235719341,14589887597,14982283838,16736056101,19009928419,10888504019,11912386688,15028634915,20121106639,24213732756,25690146366,31002261705,25998019012,23769905995,37144559593,38840312789,41234118517,47117668009,52699572466,52324453137,52375425358,95839207413,1.1099E+11,80476783373,85088184584,1.10989E+11,1.1406E+11,87608048751
South Sudan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9387,11032,61538,8806,0,0,51472,0,10707,0
Spain,156090282,210133667,269403950,306733539,390305867,402581060,359478826,327910183,625178108,783802630,918942681,586449140,364977828,468787664,229679549,214549361,236053468,267498049,286277587,385607745,322239467,428961185,354986464,450667896,474628158,400691063,491332787,522342613,596212149
Sri Lanka,216006,131826,396665,481098,418558,951527,532897,975991,3190916,1276208,2762350,3434571,2467765,3849726,4990666,8333836,5744327,5038691,4912337,5703063,7492667,10363991,9141921,6870042,13529252,13053626,8483997,8045306,8670501
St-Martin / St Maarten,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2590,0,10431,16683,0,2644,15012,9574,123228,13838,1049,6564
Sudan,2197,18211,75882,24778,0,212744,76441,58364,24426,27934,118843,7195,45829,241299,223411,7089,223552,241576,5979,618,68628,1076,2328,7303,47714,59776,494513,246905,194833
Suriname,3452,49796,0,180972,108903,50936,0,20694,0,174121,35636,71792,207503,1040,25288,31474,56676,195794,20105,24172,3989,361856,146171,144425,25072,3898,20053,9959,12175
Sweden,211468858,356181844,458902394,464654586,412088905,631262726,346722967,243327402,320280665,446066489,403825654,436729644,518744043,488119431,433395760,749657530,1196799240,860782773,219089344,185102781,184275248,176940083,188442121,171209554,206368810,264292550,384034306,507248913,363684066
Switzerland,268353640,292223862,266328260,287108941,292532409,352397417,299147680,271184192,318841106,547287758,478007543,450497564,599919643,739932155,506758988,616481925,604497966,608773678,648926492,665775223,643057834,612195941,677861061,726427308,730298431,704554728,852909130,913813602,918110122
Syria,49644,0,2744,7565,112345,80038,43279,12380,1829,21144,15392,30090,14408,72637,17985,275026,17009,4005,39022,4632,32011,14436,12018,3033,29067,37582,18833,30602,0
Taiwan,6998566353,7423190106,8437416147,8586394588,11652827963,17701038839,13052849934,14683714167,20146902799,24273048515,26850782186,39992292659,41593091759,40083721147,37488781668,50268896386,54926114182,57077843821,62833501760,72416771165,70072297121,78103609551,99008504618,1.00183E+11,1.02972E+11,1.25654E+11,1.53935E+11,1.86516E+11,1.6739E+11
Tajikistan,0,1607,34407,23778,40608,20961,36328,20298,13112,53636,95381,47042,34026,66794,148100,477302,666313,76605,352962,181552,147280,85111,148834,250708,16442,278242,277243,100064,292316
Tanzania,3537,3042,36437,17729,3972,5457,16403,0,23346,319471,4646,26855,496068,456412,200051,91003,100342,1551406,267650,258511,93278,426492,301242,2505392,247332,393415,785356,1302181,486900
Thailand,2216335538,2230298610,2305849672,2080284149,2601067648,4130603523,3259957527,3075272389,4303772763,4762270729,5418039033,6850504223,8083433329,7055995704,6245845317,7880475478,7628596928,6485471008,7008294922,7372297122,7555077093,7609990122,9618685456,8734823598,7660544322,7021566789,8103649774,8982177318,9404446402
The Bahamas,9865,193600,180645,34070,100,2514,0,440487,70023,1065522,1125470,1292417,1510952,1288976,931456,198075,75203,61029,89909,75371,41256,153127,62540,44177,17152,5080,4039,92066,33093
The Gambia,0,46886,7347,18112,0,100769,7296,3948,10465,10862,5996,17938,16168,8419,13972,39056,2038920,718627,847230,156740,20106,52112,40088,13317,8402,11607,107885,69906,8029697
Timor-Leste,20371,0,0,0,0,0,669632,89865,42394,89360,25374,25959,0,24157,14251,37096,119589,80227,119746,90953,505315,182701,62578,100691,26255,27897,412139,187450,73697
Togo,10231,27149,105181,65143,97591,161702,35186,32100,91166,51741,54452,14101,64040,101717,23319,5682,232164,22069,15037,15447,0,2234,153214,4567,47162,213630,357735,302717,3106635
Tokelau,0,25998,0,33321,2317,4105,5114,1604,0,7988,0,1014,7186,3382,19997,6627,74268,1653,13431,5367,0,0,36792,7133,2212,0,1083,10420,31099
Tonga,0,0,0,2050,0,0,3473,0,0,0,0,0,0,0,47210,0,0,0,15238,0,0,0,4264,0,1228,0,0,12218,86147
Trinidad and Tobago,109804,27904,29721,289500,48356,17163,70737,30512,54574,509541,580364,68504,166373,204103,1438976,175160,74744,96997,654119,66872,563374,177586,104042,1590331,666228,534020,389185,182127,1599420
Tunisia,1124971,967471,1796132,4483710,2573572,15917048,23490749,11495189,16462604,17801138,49108917,78565016,53165703,49124256,53854029,82420425,102451652,73294226,76780170,95577168,76153215,92324672,83310692,83763560,85333257,84863518,119087003,177184008,153770170
Turkiye,729897,984866,2073596,3530479,5215574,5404170,5866799,4356130,8284624,9778390,16902266,23438412,25865280,32606049,24641036,29263531,26695216,32607360,30742358,24668723,28298943,32185232,46575162,34980965,27886875,27679171,44686002,59316433,62971269
Turkmenistan,0,0,0,478705,6480,0,7599,4428,125070,29304,233045,63683,479486,185018,14799,380689,239475,731979,97264,38195,46614,73472,11399,63446,317083,6274,30540,24684,12393
Turks and Caicos Islands,0,0,0,0,10592,0,70949,0,34400,14014,76345,15510,21661,215519,40585,44586,102496,38507,48177,275701,337762,202754,263251,198671,717081,383609,128680,344521,1589
Tuvalu,0,7820,0,0,234244,18480,21109,13681,233597,26771,0,0,135680,2357,10414,0,520954,2952,249341,32954,28310,285704,4488,18050,32825,9446,89131,134875,32442
US Minor Outlying Islands,0,0,0,0,0,143908,505793,419941,116416,78218,107318,7683,5036,76813,8383,21414,7141,11281,2652,16856,246933,149008,24485,33501,47241,30150,223670,470323,726378
Uganda,0,22691,55209,10184,8871,23293,45873,3314,27141,303209,23598,78724,103371,56600,541305,217528,61108,149321,55065,76919,126569,10201,23620,14429,28975,13083,54990,826921,146825
Ukraine,354649,3302764,3313476,2177461,3734376,6991686,9683860,11418393,22034724,9802252,5281560,10487166,10067098,16374965,22657465,25965954,13124525,14529895,11277800,12016469,17548557,35967530,41695907,47580030,28429710,24772566,29664711,64299868,37180689
United Arab Emirates,29408519,25974078,8463453,6342257,3345582,15509501,18803635,24392806,15791844,20884724,142137859,40178789,58080574,60846010,64378824,76645162,101897006,490450474,84042496,97238077,102689127,72692105,351899050,287603287,268672702,297843124,361978727,423529724,318114945
United Kingdom,6235208242,5950608601,4664100509,4507413998,4916229472,6828824820,7301573817,7658547079,3477921093,4825162180,5203578059,4823719646,3223440878,2748472217,1665434943,2433911378,2193371963,2030863998,1744502252,1766059821,1644586583,1635110876,1592257287,1647533037,1505939266,1389893576,1595639253,2054096838,1327315173
United States of America,30905064093,31989172174,34701070286,33668626962,42002552349,52944646908,39741880442,37869030117,41198718623,41316099740,40150683528,44964036249,41064274456,40889869662,28748222832,36197668757,34890289587,33471360589,33368435681,33366300448,32062901904,33219998386,39821879232,37585558730,39149462383,43877514251,51332266272,50276433297,43074697495
Uruguay,41697,173257,304948,238211,206423,165221,316639,107153,158525,1182938,780855,933494,735387,1044295,1228228,486660,511379,337195,180775,184536,222433,269975,329282,240797,203558,77490,674040,1157880,1156122
Uzbekistan,0,106263,43522,36964,68135,2571806,337426,429069,305184,276984,415076,3823231,795345,940321,782735,433843,395764,1077318,614116,11853273,498454,352498,707592,1539213,1600366,419307,524715,1695589,642805
Vanuatu,0,3647,0,0,0,1412,0,0,0,23535,108400,213628,0,28110,10838,113225,0,3517,0,42158,940788,412595,1353,0,1688,0,0,79754,13027
Vatican City,0,0,0,0,0,0,0,2718,0,7294,30524,0,25686,30055,16642,91743,75756,6732,12987,6394,0,447804,42217,50113,3324,4122,19025,31069,0
Venezuela,46005,153700,308361,182003,411050,201526,259095,462442,403011,412158,331734,227792,158662,407539,609260,190773,442245,253382,393496,1655665,1292974,551164,348552,174823,531118,102489,464367,110308,26248
Vietnam,531311,126133,2470086,8376732,626421,6845645,20873842,28176763,61545760,100201177,143976001,104311612,135430217,169113392,158099549,370354863,687419344,2398640279,2154690632,2121859183,4040837086,5221085681,8256491339,8172219809,12419015725,14553075903,14303672185,13345995358,28407811948
Wallis and Futuna,0,0,0,0,0,0,0,0,52940,116175,111805,231122,132259,81668,0,3052,0,27191,0,66042,0,24657,266624,16508,673073,77985,66474,11257,16613
Western Sahara,0,0,0,0,0,5389521,0,0,0,185155,0,7377,0,0,0,0,11763,0,0,0,2834,0,0,0,1323,0,0,0,1797
Yemen,0,9481,63579,14201,11749,50722,486207,26202,1891,40621,647548,483669,334703,83283,83252,105744,388213,82675,30203,279657,515267,2450914,93035,150727,214226,1812204,894690,21393,91725
Zambia,16139,0,701570,1069909,1485264,0,16249,3570,11993,0,128993,22811,2817,3094,7017,19637,67853,39262,10299,15843,12888,14838,18633,10409,18439,47919,52805,54481,78814
Zimbabwe,24026,8606,2857,59409,105119,63864,653126,58905,3920,21296,133055,31793,152407,152243,66747,84850,266247,163650,38532,5403,14445,108205,20914,61820,42236,3391,43993,159206,825063
